2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:122 - Calculated installment: [8], residualAmount: [4048.72], interestAmount: [70.79], capitalAmount: [653.20], installmentAmount: [723.99], commissionAmount: [0.0], referenceAmount: [8354.07], referenceDuration: [13], WIBOR: [0.1099]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:72 - CurrentInstallmentNumber: [9]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:75 - WiborPercent: [0.1099]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:78 - interestPercent: [0.2098]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:81 - q: [1.0174833333]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:85 - residualAmount: [3195.52]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:89 - previousPaymentDate: [2023-07-20]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:92 - residualAmount: [3195.52]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:97 - interestAmount: [57.73]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:100 - referenceAmount: [8354.07]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:103 - referenceDuration: [13]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:108 - installmentAmountWithoutCommission: [723.99]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:112 - capitalAmount: [666.26]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:115 - commissionAmount: [0.0]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:120 - installmentAmount: [723.99]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:122 - Calculated installment: [9], residualAmount: [3195.52], interestAmount: [57.73], capitalAmount: [666.26], installmentAmount: [723.99], commissionAmount: [0.0], referenceAmount: [8354.07], referenceDuration: [13], WIBOR: [0.1099]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:72 - CurrentInstallmentNumber: [10]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:75 - WiborPercent: [0.1099]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:78 - interestPercent: [0.2098]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:81 - q: [1.0174833333]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:85 - residualAmount: [2529.26]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:89 - previousPaymentDate: [2023-08-20]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:92 - residualAmount: [2529.26]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:97 - interestAmount: [45.69]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:100 - referenceAmount: [8354.07]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:103 - referenceDuration: [13]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:108 - installmentAmountWithoutCommission: [723.99]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:112 - capitalAmount: [678.30]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:115 - commissionAmount: [0.0]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:120 - installmentAmount: [723.99]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:122 - Calculated installment: [10], residualAmount: [2529.26], interestAmount: [45.69], capitalAmount: [678.30], installmentAmount: [723.99], commissionAmount: [0.0], referenceAmount: [8354.07], referenceDuration: [13], WIBOR: [0.1099]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:72 - CurrentInstallmentNumber: [11]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:75 - WiborPercent: [0.1099]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:78 - interestPercent: [0.2098]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:81 - q: [1.0174833333]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:85 - residualAmount: [1850.96]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:89 - previousPaymentDate: [2023-09-20]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:92 - residualAmount: [1850.96]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:97 - interestAmount: [32.36]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:100 - referenceAmount: [8354.07]
